project_id,project_name,start_date,end_date,project_manager,team_members,status,budget,expenditure,client
P0005,Data Warehouse,2/23/2022 0:00,5/4/2023 0:00,Eve,Charlie,pending,907420,482370.952,Client A
P0013,App Development,7/31/2023 0:00,10/7/2024 0:00,David,Bob,Cancelled,722076,482370.952,Client D
P0034,App Development,6/26/2024 0:00,11/9/2022 0:00,David,"David, Bob",Cancelled,532976.7075,482370.952,Client A
P0036,AI Software,5/17/2023 0:00,12/1/2023 0:00,Bob,"Charlie, Eve",Completed,499948,482370.952,Client D
P0038,IoT Automation,4/7/2022 0:00,7/15/2022 0:00,Alice,"David, Bob, Alice",pending,532976.7075,482370.952,Client E
P0042,Blockchain Integration,10/7/2022 0:00,12/21/2023 0:00,Charlie,"Frank, Bob, Alice",Completed,532976.7075,482370.952,Client E
P0051,App Development,4/1/2024 0:00,9/5/2024 0:00,Bob,"Charlie, Alice, Frank",Completed,532976.7075,482370.952,Client B
P0063,App Development,7/3/2023 0:00,5/1/2023 0:00,Frank,"Charlie, Bob, David",Active,588323,482370.952,Client E
P0067,IoT Automation,3/7/2023 0:00,9/8/2022 0:00,Eve,Frank,Active,844385,482370.952,Client A
P0073,AI Software,1/1/2023 0:00,3/16/2024 0:00,Frank,Frank,Cancelled,781765,482370.952,Client C
P0082,Data Warehouse,8/12/2024 0:00,3/29/2022 0:00,Eve,Charlie,Active,271856,482370.952,Client A
P0087,IoT Automation,7/28/2022 0:00,3/24/2022 0:00,Alice,"Alice, Charlie",pending,521296,482370.952,Client E
P0088,IoT Automation,1/13/2024 0:00,7/12/2022 0:00,Bob,Eve,pending,464314,482370.952,Client D
P0089,IoT Automation,2/23/2023 0:00,8/19/2022 0:00,Frank,"Frank, Charlie",Cancelled,254804,482370.952,Client B
P0094,App Development,12/8/2023 0:00,3/13/2023 0:00,Frank,David,Completed,244327,482370.952,Client B
P0099,Cloud Migration,10/9/2023 0:00,7/6/2023 0:00,Charlie,"Bob, Alice, Charlie",Cancelled,755425,482370.952,Client B
P0105,IoT Automation,5/29/2022 0:00,5/11/2023 0:00,Charlie,"Alice, Frank",Cancelled,826888,482370.952,Client E
P0108,Blockchain Integration,2/20/2023 0:00,8/5/2023 0:00,Bob,David,pending,670421,482370.952,Client D
P0109,AI Software,5/20/2023 0:00,4/19/2024 0:00,David,David,pending,532976.7075,482370.952,Client D
P0111,Cloud Migration,7/5/2023 0:00,9/10/2024 0:00,Frank,Alice,pending,677187,482370.952,Client C
P0112,Data Warehouse,3/6/2023 0:00,8/28/2022 0:00,Alice,"David, Frank, Bob",Completed,272702,482370.952,Client D
P0123,Cloud Migration,4/11/2024 0:00,9/2/2022 0:00,Frank,Eve,Cancelled,974878,482370.952,Client C
P0124,Blockchain Integration,11/26/2023 0:00,12/2/2022 0:00,Alice,Alice,pending,889912,482370.952,Client C
P0137,Data Warehouse,7/26/2024 0:00,10/17/2022 0:00,Charlie,"Bob, Alice",pending,813536,482370.952,Client A
