CustomerID,AgeGroup,City,State,Postal Code,Region,Occupation,Gender,MaritalStatus,MonthlyIncome
ATQCUS1825,45+,Henderson,Kentucky,42420,South,Salaried IT Empl.,Male,Married,183808
ATQCUS0809,25-34,Henderson,Kentucky,42420,South,Salaried Other,Male,Married,99805
ATQCUS0663,25-34,Los Angeles,California,90036,West,Salaried Other,Male,Married,94255
ATQCUS0452,25-34,Fort Lauderdale,Florida,33311,South,Government Empl.,Male,Married,135225
ATQCUS3350,21-24,Fort Lauderdale,Florida,33311,South,Freelancers,Male,Single,70940
ATQCUS3256,21-24,Los Angeles,California,90032,West,Salaried IT Empl.,Male,Single,116465
ATQCUS3608,25-34,Los Angeles,California,90032,West,Freelancers,Male,Single,87415
ATQCUS0611,25-34,Los Angeles,California,90032,West,Salaried IT Empl.,Male,Married,147695
ATQCUS3856,21-24,Los Angeles,California,90032,West,Salaried Other,Female,Single,76060
ATQCUS2640,35-45,Los Angeles,California,90032,West,Salaried IT Empl.,Female,Married,168625
ATQCUS3008,45+,Los Angeles,California,90032,West,Government Empl.,Female,Married,156355
ATQCUS2365,25-34,Los Angeles,California,90032,West,Salaried IT Empl.,Female,Married,156845
ATQCUS1141,35-45,Concord,North Carolina,28027,South,Business Owners,Male,Married,180753
ATQCUS2853,35-45,Seattle,Washington,98103,West,Business Owners,Female,Married,186958
ATQCUS3020,45+,Fort Worth,Texas,76106,Central,Salaried IT Empl.,Female,Married,184385
ATQCUS2442,25-34,Fort Worth,Texas,76106,Central,Government Empl.,Female,Married,136438
ATQCUS3943,25-34,Madison,Wisconsin,53711,Central,Salaried IT Empl.,Female,Single,150673
ATQCUS1679,45+,West Jordan,Utah,84084,West,Salaried Other,Male,Married,104613
ATQCUS0744,25-34,San Francisco,California,94109,West,Freelancers,Male,Married,84578
ATQCUS3335,21-24,San Francisco,California,94109,West,Business Owners,Male,Single,135373
ATQCUS0846,25-34,San Francisco,California,94109,West,Business Owners,Male,Married,171585
ATQCUS2462,25-34,Fremont,Nebraska,68025,Central,Salaried IT Empl.,Female,Married,164020
ATQCUS0916,35-45,Fremont,Nebraska,68025,Central,Salaried IT Empl.,Male,Married,158160
ATQCUS3766,21-24,Philadelphia,Pennsylvania,19140,East,Salaried IT Empl.,Female,Single,118073
ATQCUS1285,35-45,Orem,Utah,84057,West,Business Owners,Male,Married,185658
ATQCUS3870,21-24,Los Angeles,California,90049,West,Salaried IT Empl.,Female,Single,122440
ATQCUS1414,35-45,Los Angeles,California,90049,West,Salaried Other,Male,Married,106048
ATQCUS3009,45+,Philadelphia,Pennsylvania,19140,East,Government Empl.,Female,Married,140790
